paarcode,g_1,g_2,age_1,age_2,civil_status_1,civil_status_2,duration_months_1,duration_months_2,n_m_1,n_m_2,n_e_1,n_e_2,n_o_1,n_o_2,n_a_1,n_a_2,n_c_1,n_c_2,mean_relationship_satisfaction_1,mean_relationship_satisfaction_2,mean_relationship_satisfaction_T2_1,mean_relationship_satisfaction_T2_2,pooled_standardized_n_1,pooled_standardized_n_2,pooled_standardized_e_1,pooled_standardized_e_2,pooled_standardized_o_1,pooled_standardized_o_2,pooled_standardized_a_1,pooled_standardized_a_2,pooled_standardized_c_1,pooled_standardized_c_2,pooled_standardized_relationship_satisfaction_1,pooled_standardized_relationship_satisfaction_2,pooled_standardized_relationship_satisfaction_T2_1,pooled_standardized_relationship_satisfaction_T2_2
57,1,2,48,47,2,2,238,238,3,2,4,5,4,4,4,3,4,4,4,5,,,0.13,-0.46,0.03,1.42,0.97,0.4,0.83,-1.21,-0.27,0.08,-1.01,0.44,,
58,1,2,49,54,2,2,276,276,4,2,4,3,4,4,4,4,4,4,5,5,4.71,4.57,1.19,-0.64,0.58,-1.5,0.97,0.94,-0.84,-0.16,0.5,-0.11,1.02,0.67,0.76,0.42
59,1,2,52,53,2,2,274,274,2,3,4,3,4,3,4,4,5,4,4,3,,,-1.29,0.78,0.58,-0.4,0.26,-0.67,0.2,0.88,0.88,-0.3,-0.79,-2.27,,
60,1,2,75,77,2,2,636,636,4,3,4,4,4,4,4,5,4,3,3,4,3.57,4.43,1.72,0.43,0.76,1.24,-0.28,1.12,-0.84,2.55,0.12,-1.45,-1.69,-0.46,-1.15,0.18
61,1,2,50,51,2,2,317,317,3,2,4,2,4,4,5,4,4,5,4,5,4.57,4.71,-0.23,-0.46,0.21,-1.68,0.08,0.04,2.08,0.67,0.5,1.23,-0.11,1.12,0.52,0.65
62,1,2,52,52,2,2,266,266,3,2,4,5,4,5,4,4,4,4,5,5,4.86,5,0.13,-0.1,0.4,1.79,0.61,1.83,0.83,0.04,-0.65,-0.68,1.02,1.12,1,1.13
63,1,2,20,25,1,1,10,11,4,3,5,4,4,3,3,3,4,4,5,4,4.57,4.29,1.37,0.25,1.31,0.14,1.15,-1.75,-1.05,-1.63,0.5,-0.11,0.8,-0.01,0.52,-0.06
64,1,2,50,53,2,2,316,316,2,2,5,4,4,4,4,4,4,4,4,4,,,-1.29,-1.35,1.31,1.06,0.08,0.4,-0.42,-0.16,-0.27,0.85,-0.33,-0.69,,
65,1,2,21,20,1,1,10,10,3,2,3,4,4,3,4,5,3,3,5,5,4.86,5,0.13,-0.99,-0.7,-0.04,0.26,-1.21,0.2,1.71,-1.22,-1.83,0.8,1.12,1,1.13
66,1,2,50,53,2,2,282,282,2,3,4,4,4,4,5,4,5,4,4,4,4.29,3.86,-1.82,1.14,0.94,0.14,0.08,-0.31,1.87,0.67,1.07,-0.11,-0.79,-0.01,0.04,-0.78
67,1,2,79,77,2,2,658,658,4,4,3,4,3,3,4,4,4,4,5,5,4.57,5,0.84,1.85,-0.7,0.51,-1.71,-1.39,0.83,0.46,-0.07,0.66,1.02,0.89,0.52,1.13
68,1,2,20,22,1,1,20,20,3,2,3,4,4,3,3,4,3,5,4,4,3.71,4,0.48,-0.28,-1.06,-0.04,0.08,-0.49,-1.05,0.04,-1.61,1.23,-0.33,-0.01,-0.91,-0.54
69,1,2,44,48,2,2,212,212,4,3,3,4,4,4,4,4,4,4,3,4,3.14,3.86,1.19,0.96,-0.88,-0.04,0.61,0.4,-0.84,-0.58,0.5,-0.3,-1.92,-0.69,-1.86,-0.78
